"time","Amm_mgL"
"31/07/2020 16:",2.02
"31/07/2020 17:",2.02
"31/07/2020 18:",2.105
"31/07/2020 19:",2.215
"31/07/2020 20:",2.255
"31/07/2020 21:",2.275
"31/07/2020 22:",2.29
"31/07/2020 23:",2.295
"01/08/2020 00:",2.23
"01/08/2020 01:",2.14
"01/08/2020 02:",2.02
"01/08/2020 03:",1.795
"01/08/2020 04:",1.625
"01/08/2020 05:",1.495
"01/08/2020 06:",1.36
"01/08/2020 07:",1.19
"01/08/2020 08:",0.9725
"01/08/2020 09:",0.9425
"01/08/2020 10:",1.025
"01/08/2020 11:",1.075
"01/08/2020 12:",1.3
"01/08/2020 13:",1.515
"01/08/2020 14:",1.615
"01/08/2020 15:",1.78
"01/08/2020 16:",1.995
"01/08/2020 17:",2.155
"01/08/2020 18:",2.255
"01/08/2020 19:",2.335
"01/08/2020 20:",2.385
"01/08/2020 21:",2.405
"01/08/2020 22:",2.335
"01/08/2020 23:",2.245
"02/08/2020 00:",2.18
"02/08/2020 01:",2.035
"02/08/2020 02:",1.87
"02/08/2020 03:",1.725
"02/08/2020 04:",1.6
"02/08/2020 05:",1.375
"02/08/2020 06:",1.19
"02/08/2020 07:",1.125
"02/08/2020 08:",1.045
"02/08/2020 09:",1.0075
"02/08/2020 10:",0.9975
"02/08/2020 11:",1.09
"02/08/2020 12:",1.265
"02/08/2020 13:",1.49
"02/08/2020 14:",1.76
"02/08/2020 15:",1.88
"02/08/2020 16:",2.07
"02/08/2020 17:",2.29
"02/08/2020 18:",2.37
"02/08/2020 19:",2.395
"02/08/2020 20:",2.37
"02/08/2020 21:",2.395
"02/08/2020 22:",2.355
"02/08/2020 23:",2.285
"03/08/2020 00:",2.175
"03/08/2020 01:",2.065
"03/08/2020 02:",2.015
"03/08/2020 03:",1.845
"03/08/2020 04:",1.68
"03/08/2020 05:",1.62
"03/08/2020 06:",1.575
"03/08/2020 07:",1.5
"03/08/2020 08:",1.365
"03/08/2020 09:",1.1165
"03/08/2020 10:",0.9815
"03/08/2020 11:",1.095
"03/08/2020 12:",1.255
"03/08/2020 13:",1.425
"03/08/2020 14:",1.605
"03/08/2020 15:",1.705
"03/08/2020 16:",1.91
"03/08/2020 17:",2.15
"03/08/2020 18:",2.205
"03/08/2020 19:",2.285
"03/08/2020 20:",2.355
"03/08/2020 21:",2.305
"03/08/2020 22:",2.245
"03/08/2020 23:",2.22
"04/08/2020 00:",2.145
"04/08/2020 01:",2.01
"04/08/2020 02:",1.82
"04/08/2020 03:",1.715
"04/08/2020 04:",1.615
"04/08/2020 05:",1.455
"04/08/2020 06:",1.275
"04/08/2020 07:",1.08
"04/08/2020 08:",1.005
"04/08/2020 09:",0.9345
"04/08/2020 10:",0.8635
"04/08/2020 11:",0.9125
"04/08/2020 12:",1.0885
"04/08/2020 13:",1.305
"04/08/2020 14:",1.5
"04/08/2020 15:",1.65
"04/08/2020 16:",1.86
"04/08/2020 17:",2.075
"04/08/2020 18:",2.21
"04/08/2020 19:",2.28
"04/08/2020 20:",2.3
"04/08/2020 21:",2.29
"04/08/2020 22:",2.205
"04/08/2020 23:",2.075
"05/08/2020 00:",2.04
"05/08/2020 01:",1.975
"05/08/2020 02:",1.825
"05/08/2020 03:",1.735
"05/08/2020 04:",1.565
"05/08/2020 05:",1.405
"05/08/2020 06:",1.23
"05/08/2020 07:",1.115
"05/08/2020 08:",1.0085
"05/08/2020 09:",0.846
"05/08/2020 10:",0.8095
"05/08/2020 11:",0.866
"05/08/2020 12:",1.074
"05/08/2020 13:",1.28
"05/08/2020 14:",1.455
"05/08/2020 15:",1.62
"05/08/2020 16:",1.875
"05/08/2020 17:",2.165
"05/08/2020 18:",2.3
"05/08/2020 19:",2.33
"05/08/2020 20:",2.29
"05/08/2020 21:",2.235
"05/08/2020 22:",2.165
"05/08/2020 23:",2.08
"06/08/2020 00:",1.985
"06/08/2020 01:",1.91
"06/08/2020 02:",1.79
"06/08/2020 03:",1.66
"06/08/2020 04:",1.565
"06/08/2020 05:",1.38
"06/08/2020 06:",1.275
"06/08/2020 07:",1.235
"06/08/2020 08:",0.936
"06/08/2020 09:",0.834
"06/08/2020 10:",0.9065
"06/08/2020 11:",0.9485
"06/08/2020 12:",1.115
"06/08/2020 13:",1.31
"06/08/2020 14:",1.51
"06/08/2020 15:",1.645
"06/08/2020 16:",1.82
"06/08/2020 17:",1.96
"06/08/2020 18:",2.07
"06/08/2020 19:",2.175
"06/08/2020 20:",2.17
"06/08/2020 21:",2.15
"06/08/2020 22:",2.115
"06/08/2020 23:",2.015
"07/08/2020 00:",1.92
"07/08/2020 01:",1.895
"07/08/2020 02:",1.79
"07/08/2020 03:",1.605
"07/08/2020 04:",1.53
"07/08/2020 05:",1.455
"07/08/2020 06:",1.365
"07/08/2020 07:",1.174
"07/08/2020 08:",0.972
"07/08/2020 09:",0.954
"07/08/2020 10:",0.996
"07/08/2020 11:",1.055
"07/08/2020 12:",1.15
"07/08/2020 13:",1.345
"07/08/2020 14:",1.495
